"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z","Rgd_Avail","NDVI","Alt","Forest"
"AD56",-0.716698343,2.713083305,0.283623667,2.386447754,41.5210991,0.281934,2191.120117,33598
"AE19",1.167424361,-0.136958985,0.780117594,-0.317065373,65.3207016,0.122581,2427.879883,1673
"AE20",0.384312721,0.101127295,1.470986758,-0.378376054,55.4286995,0.135893,2757.330078,949
"AE21",0.483246537,-0.485592989,2.121152111,-0.458740469,56.6783981,0.103088,3067.370117,0
"AE22",1.556731376,-0.0815331,1.264680017,-0.458740469,70.2382965,0.12568,2658.949951,0
"AE23",2.017431185,-0.131271528,0.004822223,-0.458740469,76.0577011,0.122899,2058.169922,0
"AE24",-0.280706548,-0.723672115,-0.824513826,-0.458740469,47.0284004,0.0897764,1662.689941,0
"AE25",1.420114943,-0.189702107,-1.464110032,-0.458740469,68.5126038,0.119632,1357.689941,0
"AE26",0.911622629,-0.691142718,-1.413298617,-0.458740469,62.0895004,0.0915952,1381.920044,0
"AE27",1.082455088,0.911929835,0.650961429,-0.458740469,64.2473984,0.181227,2366.290039,0
"AE28",-0.564121478,-0.659691792,-1.008738453,-0.458740469,43.4483986,0.0933537,1574.839966,0
"AE33",-0.781551136,-0.656236394,-1.099959551,-0.458740469,40.7019005,0.0935469,1531.339966,0
"AE38",-0.636740374,0.3095601,-0.975793831,-0.458740469,42.5311012,0.147547,1590.550049,0
"AE39",0.529440282,0.656083663,-0.367212881,-0.458740469,57.2619019,0.166922,1880.76001,0
"AE40",0.360048338,0.433163937,-0.417290128,-0.174120027,55.1222,0.154458,1856.880005,3361
"AE41",0.71174401,0.570807568,-0.281506999,-0.193004394,59.5647011,0.162154,1921.630005,3138
"AE42",0.230595824,1.354317465,0.230693968,0.584811364,53.4869995,0.205962,2165.879883,12323
"AE43",0.178987321,1.554093889,0.811489694,1.896470403,52.8350983,0.217132,2442.840088,27812
"AE44",1.858283514,0.19037388,1.621197254,0.285032617,74.0474014,0.140883,2828.959961,8783
"AE45",0.130205184,0.209761314,1.761300401,-0.444259632,52.2188988,0.141967,2895.77002,171
"AE46",-0.477284066,0.72522741,1.409501497,-0.458740469,44.5452995,0.170788,2728.01001,0
