"Site","Rgd_Availz","NDVI_z","Alt_z","Forest_z"
"T30",-0.677701141,-1.167211545,-1.217309645,-0.458740469
"T31",0.238916082,-0.199395824,-0.117644518,-0.315879807
"T32",-0.691460027,0.076320679,-0.238161158,-0.144226836
"T33",-0.433845422,0.413490342,-0.674114157,0.26614825
"T34",-0.404894387,1.14173532,-0.761707422,0.959958212
"T35",-0.785200742,1.707011384,-0.882769312,1.339932007
"T36",-0.972373235,2.45040503,-0.798929824,2.91080651
"T37",-0.717822368,2.05832815,-0.717585687,2.113767652
"T43",-0.45381121,1.591616801,-0.813693045,1.292255331
"T44",0.017203536,2.215877883,0.045505043,3.59962016
"T45",0.052511564,1.969707543,0.221928498,2.897934654
"T46",0.113263875,1.625491156,0.488441082,1.826013929
"U10",1.973311546,-0.260348201,1.340152349,-0.316980689
"U11",0.857947874,-0.05695899,0.642091005,0.4824293
"U12",-0.681255622,-0.678862817,0.290061201,-0.221796703
"U13",0.291561646,-0.032098719,0.870269695,0.313740243
"U14",0.983497411,-0.479851876,1.560173792,-0.450610876
"U15",-0.142498298,-0.446567729,0.73161338,-0.458740469
"U16",0.217351233,-0.247739215,0.357334304,-0.458740469
"U17",-0.054821938,-0.060804284,0.570539865,-0.458740469
"U18",0.110049437,-0.018166236,0.589098845,-0.45747022
"U19",-0.066847069,-0.246344178,0.044938802,-0.458740469
"U20",0.123088369,-0.368284702,-0.294361845,-0.436892188
"U21",0.524040914,-0.074468491,-0.686361035,-0.383965149
"U22",-0.136006611,-0.039538916,-1.263863758,-0.243052202
"U23",-0.45156286,-0.119145438,-0.3585731,-0.458740469
"U24",-0.549340945,-0.541049278,-0.657799405,-0.458740469
"U25",-0.361741129,-0.615014845,-0.783348985,-0.458740469
"U32",-0.268024275,-0.955688196,-1.230898402,-0.455353139
"U33",-0.340983815,0.104543346,-0.031917646,0.229903814
"U34",0.027099304,0.621118318,0.111477737,0.929641605
"U35",0.522220187,1.147547973,0.45207828,0.722167614
"U36",-0.533824445,1.845030601,0.192884847,1.839563251
"U37",-0.654402538,1.414625979,-0.063331215,1.158032361
"V11",2.364654009,-0.642439837,1.503910132,-0.231535278
"V12",0.859839873,-0.752021766,0.77808353,-0.458740469
"V13",-0.022791151,0.036043463,0.954758875,-0.441211034
"V14",0.742531778,-0.536100475,1.887457947,-0.458740469
"V15",0.091880823,-0.564317777,0.560117654,-0.458740469
"V16",-0.128042703,-0.223522807,0.667800696,-0.458740469
"V17",1.995921902,-1.014989779,0.728698724,-0.458740469
"V18",2.864168613,-1.153177117,1.947957662,-0.458740469
"V19",0.415654652,-0.055635494,1.045812559,-0.458740469
"V20",1.4814048,-0.678794854,2.009191033,-0.455437822
"V21",0.812126495,-0.158886102,0.179778367,-0.336288473
"V22",1.3444157,-0.008973302,-0.967573611,-0.446376713
