Row Labels,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
AA34,-1.07275849,-0.639853545,-0.510712968,-0.418194277,-0.348895896,-0.134551718,-0.670751277,-0.798100072,-0.808174772,-0.715418839,-0.540347548,-0.223669936,-0.209844912,-0.388983971,-0.374955234,-0.461403478,-0.666796925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA35,-0.529661517,-0.350136543,-0.291335614,0.145784481,-0.457599298,-0.306303057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA39,-0.648324217,-0.458993417,1.612350691,-0.057779451,0.898554768,-0.531001845,-0.661915796,0.174249802,-0.449500703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA40,-0.176066288,-0.044703745,-0.677030966,-0.41838449,-0.279196767,-0.879039917,-0.868439748,-0.735454067,-0.94059471,-0.945395262,-0.795139389,-0.699826227,-0.812219236,-0.799690434,-0.855077298,-0.897264688,-0.60174792,-0.961294376,-0.942546056,-0.946540535,-0.991078211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA42,2.927604295,-0.011708992,-0.391469873,-0.426512732,-0.38104052,0.173110161,-0.03004338,-0.796229436,-0.663861286,-0.883840508,-0.724173882,-0.63136008,-0.613001741,-0.673040686,0.164777822,-0.084212404,0.139821043,-0.155922011,-0.4798343,-0.540265372,0.226164274,-0.319626156,-0.294238592,-0.705089009,-0.440771148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA52,-0.466459041,-0.371119165,-0.476054613,-0.543517673,-0.531900266,-0.614060858,-0.488943222,-0.472179478,-0.342267996,-0.552468806,-0.423593123,0.10414155,-0.425068297,0.459105984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA53,-0.286987783,-0.673684704,-0.272379281,-0.21388301,-0.52546795,-0.418967457,-0.194679211,-0.45241634,-0.72992547,-0.372608322,-0.34658156,0.122539106,0.056883692,0.149381265,-0.145318415,-0.473244757,-0.211131996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA54,-0.951972833,-0.866368003,-0.829398972,-0.893052337,0.32371904,0.630077643,0.129740365,0.6992193,1.385946367,2.142841881,-0.231916148,0.905175442,0.4296901,1.551360579,0.894418301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA55,0.175499285,-0.064802499,0.421571931,0.49941724,2.197438873,1.628231505,2.358036303,3.224349222,4.471377256,3.67334819,2.906355259,0.822257322,0.199151895,0.125256076,0.416112307,-0.315746888,-0.272497792,0.604634788,1.268784119,1.681447769,1.38776179,0.418629667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB17,2.927258425,2.318379072,0.259239154,0.856810761,1.608116665,0.35830814,1.525999848,0.98671642,0.413792781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB18,-0.712447302,-0.771613156,-0.751441149,0.444055701,0.026210824,0.28678408,0.889380333,0.361419118,-0.69799737,-0.588887974,-0.244555031,0.064506521,-0.091448034,-0.607002115,-0.619103675,-0.446854636,-0.130712625,0.433500711,-0.355930964,-0.069646336,-0.155550627,-0.556812155,-0.511768863,-0.427784229,-0.507043363,-0.739485586,-0.831713789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB19,-0.038525144,0.084541969,-0.45829351,-0.431332471,-0.856617835,-0.884774862,-0.962833321,-0.950376978,-0.660380294,-0.309715957,-0.041623335,-0.27933811,-0.656901746,-0.473572331,-0.748600736,-0.677728258,-0.566017576,-0.516852034,-0.538563662,-0.422458716,-0.53483127,-0.444947344,-0.232528196,0.117825009,-0.899882914,-0.450411614,-0.710814657,-0.779335284,-0.857566019,-0.899882914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB20,2.499728932,5.168207533,5.160821846,4.902422467,5.217279189,6.547474164,5.539695986,6.102139656,3.112112914,1.509287161,0.883901104,0.303001387,0.946110173,1.114195125,1.571020561,1.588569897,0.64316785,0.462208346,0.36228527,0.739272323,-0.339380954,-0.389173386,-0.060508238,-0.246393477,-0.318080967,-0.066740192,-0.257970257,-0.151604045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB21,0.417110133,0.597797273,0.051475174,0.277463171,0.919236817,0.266326004,-0.131941758,0.024247485,-0.170201838,-0.172853298,0.269291771,1.214825377,0.561497972,0.976863303,-0.165745065,0.222647381,0.850242686,0.330414554,0.922977393,0.26671701,0.244145566,0.059678277,-0.209446752,-0.257819787,-0.068074923,-0.060798228,0.608154929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB23,-0.794404396,-0.729599219,-0.738288224,-0.717484047,-0.787194664,-0.810485005,-0.798152791,-0.81651385,-0.813666655,-0.760516697,-0.749438959,-0.731354614,-0.743928881,-0.578781309,-0.633715614,-0.761916929,-0.775121429,-0.797347676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB32,-0.270211637,-0.774492321,-0.735680492,-0.555007724,-0.449055839,-0.667988732,-0.449462886,-0.405129278,-0.611618654,-0.730770637,-0.721248408,-0.720460895,-0.758360754,-0.612111607,-0.741898244,-0.771772073,-0.094392534,-0.682598163,-0.465115032,-0.763934323,-0.856454986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB33,-0.712086295,0.406285192,0.417071974,0.190114669,-0.014144203,-0.322642953,-0.293688687,-0.544999084,-0.553268638,-0.637686214,-0.478489185,-0.537411237,-0.753359854,-0.766924457,-0.490530571,-0.679161048,-0.645094577,-0.707151451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB34,-0.540378553,-0.487619094,-0.763803022,-0.418453546,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB35,-0.489002144,-0.453340606,-0.161847733,-0.686790987,-0.816770023,-0.825021601,-0.398104144,-0.640745362,-0.5814115,-0.747624396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB38,2.126544576,2.958229675,2.735025488,2.209534931,3.20252255,2.553179652,2.635387422,2.21510391,1.725372784,1.749314988,1.745739519,1.873589698,2.415610018,1.188566941,1.141322836,1.324634651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB39,2.233787447,0.940261149,0.460322292,1.272850006,1.588735379,1.674916364,1.619056214,0.62699794,0.594146364,0.385828875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AB40,0.151747085,0.947343941,-0.178728016,-0.463823863,-0.218056614,-0.449328335,0.141246987,0.109269706,0.225947521,-0.298654228,0.129089977,0.682197367,-0.894230219,-0.515734794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
