Site,Alt_z,Alt_z2,Rgd_z,Rgd2_z,Available_z,Rgd_Availz,Forest_z,NDVI_z,ForestXNDVI,Altitude,Rugged,Rgd^2,Available,Rgd_Avail,Forest_Cov,NDVI
AC44,0.58951815,0.347531649,0.262081993,0.068686971,0.836237662,-0.390755291,1.005094391,1.828343815,1.837658113,2336.98999,32.5387001,1058.767004,40676,45.6383018,17286,0.232466
AC45,0.725154343,0.525848822,0.273791093,0.074961563,1.020866987,-0.657679787,2.179735913,1.534223557,3.344202185,2401.669922,32.7354012,1071.606492,44160,42.2666016,31157,0.216021
AC46,0.720436011,0.519028045,0.390780106,0.152709091,1.035387204,-0.402677743,3.175018286,1.192993979,3.7877777,2399.419922,34.7006989,1204.138504,44434,45.4877014,42910,0.196942
AC48,1.13304898,1.283799991,0.743658467,0.553027916,1.29532028,-0.003110448,0.953945701,0.776503955,0.74074261,2596.179932,40.6287003,1650.691288,49339,50.5349007,16682,0.173655
AC49,1.131434221,1.280143396,0.480226035,0.230617044,1.183715987,-0.382229366,-0.020165857,1.045048538,-0.0210743,2595.409912,36.2033005,1310.678967,47233,45.7459984,5179,0.18867
AC50,0.660922354,0.436818358,0.301322367,0.090795169,0.96384599,-0.372943028,0.075272178,1.671652566,0.12582893,2371.040039,33.1978989,1102.100491,43084,45.8633003,6306,0.223705
AC51,0.638819504,0.408090359,0.004483219,2.01E-05,0.615466776,-0.759922867,0.315179859,1.752314309,0.552294176,2360.5,28.2112999,795.877442,36510,40.9751015,9139,0.228215
AC52,0.428109294,0.183277567,-0.015089393,0.00022769,0.560989467,-0.41502782,0.843518728,1.398851332,1.179957296,2260.02002,27.8824997,777.4337895,35482,45.3316994,15378,0.208452
AC53,0.625377683,0.391097247,0.563921416,0.318007364,1.040368592,0.219275247,1.542748419,1.421493852,2.193007393,2354.090088,37.6092987,1414.459349,44528,53.3440018,23635,0.209718
AC54,0.265358047,0.070414893,0.502298785,0.25230407,0.832210157,0.373126529,0.591162608,2.09218462,1.236821317,2182.409912,36.5741005,1337.664827,40600,55.2873993,12398,0.247218
AC56,-0.164450521,0.027043974,0.084851104,0.00719971,0.79537968,-0.879725139,2.299223995,2.692354489,6.190326044,1977.449951,29.5613995,873.8763404,39905,39.4617996,32568,0.280775
AD18,1.710615187,2.926204319,1.484851759,2.204784745,1.001365382,1.688107596,-0.458740469,-0.477079687,0.21885576,2871.600098,53.0800018,2817.486591,43792,71.8977966,0,0.103564
AD19,1.643698417,2.701744487,0.97358881,0.947875171,1.306289933,0.287247043,-0.451034292,-0.045083293,0.020334111,2839.689941,44.4912987,1979.47566,49546,54.2025986,91,0.127718
